Symbol
BTC
ETH
USDT
BNB
USDC
XRP
BUSD
ADA
DOGE
MATIC
OKB
ETH
LTC
SOL
DOT
SHIB
TRX
DAI
AVAX
UNI
ATOM
WBTC
LEO
TON
LINK
XMR
ETC
XLM
BCH
APE
QNT
CRO
LDO
EAR
LGO
FIL
VET
ICP
BAR
EOS
FRAX
UNC
USDP
AAVE
AXS
GLD
FLOW
TUST
SAND
THETA
HT
XTZ
BSV
MANA
SDD
KCS
APT
FTM
CHZ
BTT
TWT
ZEC
MKR
USD
AKE
SDC
KLAY
DASH
TKX
IOTA
GRT
FLR
XEC
AXG
RPL
NEO
OKT
BIT
GT
XAUT
RUNE
DAI
CRV
SNX
FXS
EXO
MINA
OSMO
ETH
eAR
GMX
XIMX
ZIL
BTSE
XDC
XRD
1INCH
ALA
STX
CSPR
LUNA
ENJ
BAT
OP
DCR
HOT
HNT
XEM
LRC
DFI
KAVA
KLN
OON
ELO
OHM
ONE
WOO
BTG
NXM
RVN
RETH
BGB
CVX
COMP
OMI
XCN
GNO
KSM
CEL
IOTX
FUEL
ELG
BAL
QTUM
SUSHI
KDA
ROSE
HSB
GLM
DYDX
BAND
